chest,lu,lf,ru,rf,pelvis,lt,lc,rt,rc
0.096#-0.056#0.062#0.992,-0.335#0.202#-0.377#0.839,-0.829#0.03#-0.152#0.537,-0.337#-0.122#0.467#0.809,-0.834#-0.157#0.155#0.506,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.098#-0.054#0.058#0.992,-0.335#0.202#-0.377#0.839,-0.829#0.03#-0.152#0.537,-0.351#-0.168#0.437#0.811,-0.834#-0.157#0.155#0.506,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.098#-0.054#0.058#0.992,-0.322#0.258#-0.367#0.834,-0.842#0.095#-0.086#0.524,-0.351#-0.168#0.437#0.811,-0.849#-0.217#0.073#0.477,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.099#-0.056#0.053#0.992,-0.309#0.329#-0.355#0.819,-0.831#0.186#-0.055#0.522,-0.36#-0.219#0.398#0.815,-0.849#-0.217#0.073#0.477,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.092#-0.062#0.05#0.993,-0.309#0.329#-0.355#0.819,-0.831#0.186#-0.055#0.522,-0.346#-0.287#0.34#0.826,-0.841#-0.274#-0.01#0.467,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.092#-0.062#0.05#0.993,-0.293#0.393#-0.34#0.803,-0.797#0.286#-0.037#0.53,-0.346#-0.287#0.34#0.826,-0.841#-0.274#-0.01#0.467,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.082#-0.067#0.042#0.993,-0.293#0.393#-0.34#0.803,-0.797#0.286#-0.037#0.53,-0.326#-0.35#0.284#0.831,-0.816#-0.313#-0.074#0.48,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.082#-0.067#0.042#0.993,-0.258#0.444#-0.318#0.797,-0.752#0.387#-0.028#0.534,-0.326#-0.35#0.284#0.831,-0.816#-0.313#-0.074#0.48,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.082#-0.067#0.042#0.993,-0.258#0.444#-0.318#0.797,-0.752#0.387#-0.028#0.534,-0.307#-0.382#0.249#0.835,-0.771#-0.347#-0.101#0.524,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.075#-0.073#0.035#0.994,-0.215#0.473#-0.294#0.802,-0.686#0.444#0.015#0.576,-0.307#-0.382#0.249#0.835,-0.771#-0.347#-0.101#0.524,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.066#-0.074#0.03#0.995,-0.215#0.473#-0.294#0.802,-0.686#0.444#0.015#0.576,-0.278#-0.382#0.22#0.854,-0.702#-0.341#-0.133#0.611,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.066#-0.074#0.03#0.995,-0.169#0.478#-0.283#0.814,-0.627#0.459#0.008#0.63,-0.278#-0.382#0.22#0.854,-0.702#-0.341#-0.133#0.611,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.072#-0.083#0.026#0.994,-0.169#0.478#-0.283#0.814,-0.627#0.459#0.008#0.63,-0.245#-0.36#0.217#0.874,-0.619#-0.347#-0.138#0.691,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.072#-0.083#0.026#0.994,-0.16#0.441#-0.285#0.836,-0.573#0.446#-0.017#0.687,-0.245#-0.36#0.217#0.874,-0.619#-0.347#-0.138#0.691,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.079#-0.094#0.024#0.992,-0.16#0.441#-0.285#0.836,-0.573#0.446#-0.017#0.687,-0.209#-0.336#0.242#0.886,-0.55#-0.352#-0.095#0.752,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
